genes,Description
Nbe.v1.s00190g16440,Protein RETICULATA-related
Nbe.v1.s00190g16450,RING-like zinc finger
Nbe.v1.s00190g16460,"Serine/Threonine protein kinases, catalytic domain"
Nbe.v1.s00190g16470,emp24/gp25L/p24 family/GOLD
Nbe.v1.s00190g16500,elongation of fatty acids protein
Nbe.v1.s00190g16520,RNA methyltransferase At5g51130
Nbe.v1.s00190g16530,Protein FAR-RED IMPAIRED RESPONSE 1-like
Nbe.v1.s00190g16540,Ankyrin repeats (many copies)
Nbe.v1.s00190g16550,Zinc finger matrin-type protein 2-like
Nbe.v1.s00190g16570,Belongs to the small heat shock protein (HSP20) family
Nbe.v1.s00190g16580,Double-stranded RNA binding motif
Nbe.v1.s00190g16590,protein phosphatase 2C 5
Nbe.v1.s00190g16610,Topless-related protein 3-like
Nbe.v1.s00190g16660,protein phosphatase 2C 34
Nbe.v1.s00190g16670,-
Nbe.v1.s00190g16690,pectinesterase pectinesterase inhibitor
Nbe.v1.s00190g16700,Annexin repeats
Nbe.v1.s00190g16710,60S ribosomal protein
Nbe.v1.s00190g16720,serine threonine-protein phosphatase
Nbe.v1.s00190g16730,Dormancy/auxin associated protein
Nbe.v1.s00190g16740,60S ribosomal protein
Nbe.v1.s00190g16750,pre-mRNA-splicing factor
Nbe.v1.s00190g16770,G-quadruplex DNA unwinding
Nbe.v1.s00190g16800,"WD domain, G-beta repeat"
Nbe.v1.s00190g16820,"Multidrug pheromone exporter, MDR family, ABC transporter family"
Nbe.v1.s00190g16830,ABC transporter transmembrane region
Nbe.v1.s00190g16840,gag-polypeptide of LTR copia-type
Nbe.v1.s00190g16850,-
Nbe.v1.s00190g16860,May act as a component of the auxin efflux carrier
Nbe.v1.s00190g16870,mediator of RNA polymerase II transcription subunit
Nbe.v1.s00190g16900,Ribonuclease H protein
Nbe.v1.s00190g16910,helix loop helix domain
Nbe.v1.s00190g16920,-
Nbe.v1.s00190g16940,Protein kinase domain
Nbe.v1.s00190g16950,-
Nbe.v1.s00190g16960,A Receptor for Ubiquitination Targets
Nbe.v1.s00190g16970,A Receptor for Ubiquitination Targets
Nbe.v1.s00190g16980,MatE
Nbe.v1.s00190g16990,Transcription factor DP
Nbe.v1.s00190g17000,VQ motif
Nbe.v1.s00190g17010,Phosphatidylinositol 4-phosphate 5-kinase
Nbe.v1.s00190g17020,isoform X1
Nbe.v1.s00190g17030,Glycosyl transferase 4-like domain
Nbe.v1.s00190g17040,Tryptophan/tyrosine permease family
Nbe.v1.s00190g17050,Belongs to the MIP aquaporin (TC 1.A.8) family
Nbe.v1.s00190g17060,PHD finger protein
Nbe.v1.s00190g17070,lipolytic acyl hydrolase (LAH)
Nbe.v1.s00190g17080,aspartic-type endopeptidase activity
Nbe.v1.s00190g17090,"Required for ribosome biogenesis. Part of a complex which catalyzes pseudouridylation of rRNA. This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1"
Nbe.v1.s00190g17100,Belongs to the Glu Leu Phe Val dehydrogenases family
Nbe.v1.s00190g17110,DnaJ molecular chaperone homology domain
Nbe.v1.s00190g17120,Ribonuclease H protein
Nbe.v1.s00190g17130,-
Nbe.v1.s00190g17140,Reverse transcriptase-like
Nbe.v1.s00190g17160,Belongs to the universal ribosomal protein uS7 family
Nbe.v1.s00190g17170,Short calmodulin-binding motif containing conserved Ile and Gln residues.
Nbe.v1.s00190g17180,-
Nbe.v1.s00190g17190,C2H2-type zinc finger
Nbe.v1.s00190g17200,E3 ubiquitin-protein ligase
Nbe.v1.s00190g17210,-
Nbe.v1.s00190g17230,60S ribosomal protein
Nbe.v1.s00190g17240,protein dimerization activity
Nbe.v1.s00190g17250,Carbon catabolite repressor protein
Nbe.v1.s00190g17260,Protein kinase domain
Nbe.v1.s00190g17290,Activator of 90 kDa heat shock protein ATPase homolog
Nbe.v1.s00190g17300,"Thioredoxin-like 3-1, chloroplastic"
Nbe.v1.s00190g17320,trichome
Nbe.v1.s00190g17330,RING-type zinc-finger
Nbe.v1.s00190g17360,) efflux antiporter
Nbe.v1.s00190g17370,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Nbe.v1.s00190g17410,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Nbe.v1.s00190g17430,germin-like protein 2-3
Nbe.v1.s00190g17440,Phosducin
Nbe.v1.s00190g17450,germin-like protein 2-3
Nbe.v1.s00190g17460,phosphatase 2c
Nbe.v1.s00190g17470,Late embryogenesis abundant (LEA) group 1
Nbe.v1.s00190g17480,Late embryogenesis abundant (LEA) group 1
Nbe.v1.s00190g17500,18 kDa seed maturation
Nbe.v1.s00190g17520,"Enoyl- acyl-carrier-protein reductase NADH 2, chloroplastic-like"
Nbe.v1.s00190g17530,Non-structural maintenance of
Nbe.v1.s00190g17540,"MYB-CC type transfactor, LHEQLE motif"
Nbe.v1.s00190g17560,-
Nbe.v1.s00190g17570,-
Nbe.v1.s00190g17590,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00190g17610,Squamosa promoter-binding-like protein 9
Nbe.v1.s00190g17660,Tim17/Tim22/Tim23/Pmp24 family
Nbe.v1.s00190g17670,zinc-binding in reverse transcriptase
Nbe.v1.s00190g17680,C1 domain
Nbe.v1.s00190g17690,C1 domain
Nbe.v1.s00190g17720,Squalene/phytoene synthase
Nbe.v1.s00190g17730,Transcription factor
Nbe.v1.s00190g17750,Ribonuclease H protein
Nbe.v1.s00190g17780,Transcription factor
Nbe.v1.s00190g17790,Zinc finger A20 and AN1 domain-containing stress-associated protein 8-like
Nbe.v1.s00190g17800,Zinc finger C-x8-C-x5-C-x3-H type (and similar)
Nbe.v1.s00190g17810,isoform X1
Nbe.v1.s00190g17820,Chaperone protein dnaJ 6-like
Nbe.v1.s00190g17830,NAC domain-containing protein
Nbe.v1.s00190g17850,CCAAT-Binding transcription Factor
Nbe.v1.s00190g17860,CCAAT-Binding transcription Factor
Nbe.v1.s00190g17870,Calcium-dependent protein kinase
Nbe.v1.s00190g17880,NAC domain-containing protein
Nbe.v1.s00190g17890,Plant organelle RNA recognition domain
Nbe.v1.s00190g17900,Leucine-rich repeat receptor-like tyrosine-protein kinase At2g41820
Nbe.v1.s00190g17920,Serine threonine-protein kinase
Nbe.v1.s00190g17950,tRNA-splicing endonuclease subunit Sen54-like isoform X1
Nbe.v1.s00190g17960,-
Nbe.v1.s00190g17990,DTW domain-containing protein
Nbe.v1.s00190g18020,Conserved gene of
Nbe.v1.s00190g18040,Transcription factor
Nbe.v1.s00190g18070,Transcription initiation factor
Nbe.v1.s00190g18080,Transcription initiation factor IIB-2
Nbe.v1.s00190g18100,isocitrate dehydrogenase (NAD+) activity
Nbe.v1.s00190g18110,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00190g18130,Domain of unknown function (DUF4216)
Nbe.v1.s00190g18140,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00190g18150,This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
Nbe.v1.s00190g18160,sugar phosphate phosphate translocator At5g04160
Nbe.v1.s00190g18170,Transmembrane proteins 14C
Nbe.v1.s00190g18180,Belongs to the RecA family
Nbe.v1.s00190g18190,Protein of unknown function (DUF4005)
Nbe.v1.s00190g18200,Conserved gene of
Nbe.v1.s00190g18210,Plant protein of unknown function
Nbe.v1.s00190g18220,Glycosyltransferase-like
Nbe.v1.s00190g18230,Glycosyltransferase-like
Nbe.v1.s00190g18240,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00190g18250,-
Nbe.v1.s00190g18280,NAC domain-containing protein
Nbe.v1.s00190g18290,Calcium-dependent protein kinase
Nbe.v1.s00190g18300,Putative S-adenosyl-L-methionine-dependent methyltransferase
Nbe.v1.s00190g18320,Regulatory protein
Nbe.v1.s00190g18330,"L-galactono-1,4-lactone dehydrogenase"
Nbe.v1.s00190g18340,Myb-like DNA-binding domain
Nbe.v1.s00190g18350,"Lycopene beta cyclase, chloroplastic"
Nbe.v1.s00190g18360,Core-2/I-Branching enzyme
Nbe.v1.s00190g18370,LOB domain-containing protein
Nbe.v1.s00190g18390,Denticleless protein homolog
Nbe.v1.s00190g18400,protein kinase inhibitor activity
Nbe.v1.s00190g18420,GPI transamidase component family protein Gaa1-like family protein
Nbe.v1.s00190g18430,GPI transamidase component family protein Gaa1-like family protein
Nbe.v1.s00190g18450,"Serine/Threonine protein kinases, catalytic domain"
Nbe.v1.s00190g18460,Sucrase/ferredoxin-like
Nbe.v1.s00190g18470,Armadillo/beta-catenin-like repeats
Nbe.v1.s00190g18480,Transcription factor
Nbe.v1.s00190g18500,"transposition, RNA-mediated"
Nbe.v1.s00190g18510,spliceosomal complex assembly
Nbe.v1.s00190g18520,spliceosomal complex assembly
Nbe.v1.s00190g18530,spliceosomal complex assembly
Nbe.v1.s00190g18540,gag-polypeptide of LTR copia-type
Nbe.v1.s00190g18550,Glucose-6-phosphate 1-epimerase
Nbe.v1.s00190g18560,Chalcone isomerase-like
Nbe.v1.s00190g18600,glucuronokinase
Nbe.v1.s00190g18610,Belongs to the uridine kinase family
Nbe.v1.s00190g18620,Putative S-adenosyl-L-methionine-dependent methyltransferase
Nbe.v1.s00190g18670,BAG domain
Nbe.v1.s00190g18680,Bromodomain extra-terminal - transcription regulation
Nbe.v1.s00190g18700,-
Nbe.v1.s00190g18710,BAG family molecular chaperone regulator
Nbe.v1.s00190g18740,-
Nbe.v1.s00190g18750,"transposition, RNA-mediated"
Nbe.v1.s00190g18830,HAUS augmin-like complex subunit 6 N-terminus
Nbe.v1.s00190g18850,"The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment"
Nbe.v1.s00190g18880,Protein NLP7-like isoform X1
Nbe.v1.s00190g18890,Mitochondrial domain of unknown function (DUF1713)
Nbe.v1.s00190g18900,Serine hydrolase (FSH1)
Nbe.v1.s00190g18910,Glycerol-3-phosphate dehydrogenase
Nbe.v1.s00190g18940,F-Box protein
Nbe.v1.s00190g18950,GAG-pre-integrase domain
Nbe.v1.s00190g18960,"TRAM, LAG1 and CLN8 homology domains."
Nbe.v1.s00190g19000,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00190g19010,BEST Arabidopsis thaliana protein match is
Nbe.v1.s00190g19015,-
Nbe.v1.s00190g19020,-
Nbe.v1.s00190g19040,Rubisco LSMT substrate-binding
Nbe.v1.s00190g19050,Belongs to the RecA family
Nbe.v1.s00190g19070,glycine rich nucleic binding domain
Nbe.v1.s00190g19090,Leucine rich repeat
Nbe.v1.s00190g19100,Belongs to the AB hydrolase superfamily. Lipase family
Nbe.v1.s00190g19130,Belongs to the AB hydrolase superfamily. Lipase family
Nbe.v1.s00190g19140,Conserved gene of
Nbe.v1.s00190g19160,Chloride channel protein
Nbe.v1.s00190g19170,Ribosomal protein S21
Nbe.v1.s00190g19180,SWIB/MDM2 domain
Nbe.v1.s00190g19190,DCD
Nbe.v1.s00190g19200,AMP-binding enzyme
Nbe.v1.s00190g19210,Mitochondrial import receptor subunit TOM20
Nbe.v1.s00190g19220,Nodulin-like
Nbe.v1.s00190g19230,ATP-dependent RNA helicase
Nbe.v1.s00190g19240,ATP-dependent RNA helicase
Nbe.v1.s00190g19250,Nodulin-like
Nbe.v1.s00190g19260,Nodulin-like
Nbe.v1.s00190g19270,Nuclear transport factor
Nbe.v1.s00190g19290,cytochrome P450
Nbe.v1.s00190g19310,Belongs to the DEAD box helicase family
Nbe.v1.s00190g19320,ATP-dependent RNA helicase
Nbe.v1.s00190g19330,Transcription factor
Nbe.v1.s00190g19340,helicase activity
Nbe.v1.s00190g19350,May serve as docking site to facilitate the association of other proteins to the plasma membrane
Nbe.v1.s00190g19360,Belongs to the helicase family
Nbe.v1.s00190g19370,Mitochondrial matrix Mmp37
Nbe.v1.s00190g19380,Cationic amino acid transporter
Nbe.v1.s00190g19400,Pentatricopeptide repeat-containing protein
Nbe.v1.s00190g19410,MOSC domain
Nbe.v1.s00190g19420,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues
Nbe.v1.s00190g19430,Pentatricopeptide repeat-containing protein
Nbe.v1.s00190g19440,Topoisomerase DNA binding C4 zinc finger
Nbe.v1.s00190g19450,Rubisco LSMT substrate-binding
Nbe.v1.s00190g19460,"Ribulose-1,5 bisphosphate carboxylase oxygenase large subunit N-methyltransferase"
Nbe.v1.s00190g19480,-
Nbe.v1.s00190g19500,F-box associated domain
Nbe.v1.s00190g19520,2'-5' RNA ligase superfamily
Nbe.v1.s00190g19530,PA domain
Nbe.v1.s00190g19540,Ribonuclease H protein
Nbe.v1.s00190g19550,Bifunctional phosphatase IMPL2
Nbe.v1.s00190g19570,GRF zinc finger
Nbe.v1.s00190g19600,Bifunctional phosphatase IMPL2
Nbe.v1.s00190g19610,Acts in the modification of cell walls via demethylesterification of cell wall pectin
Nbe.v1.s00190g19620,Acts in the modification of cell walls via demethylesterification of cell wall pectin
Nbe.v1.s00190g19630,40S ribosomal protein
Nbe.v1.s00190g19650,mTERF
Nbe.v1.s00190g19660,mTERF
Nbe.v1.s00190g19670,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00190g19680,-
Nbe.v1.s00190g19690,ADP binding
Nbe.v1.s00190g19710,"Protein TRIGALACTOSYLDIACYLGLYCEROL 2, chloroplastic"
Nbe.v1.s00190g19750,POT family
Nbe.v1.s00190g19780,POT family
Nbe.v1.s00190g19830,-
Nbe.v1.s00190g19840,Pyridine nucleotide-disulphide oxidoreductase
Nbe.v1.s00190g19850,Myb-like DNA-binding domain
Nbe.v1.s00190g19860,Resistance protein
Nbe.v1.s00190g19870,PPPDE putative peptidase domain
Nbe.v1.s00190g19880,Cytochrome P450
Nbe.v1.s00190g19890,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Nbe.v1.s00190g19920,Reverse transcriptase (RNA-dependent DNA polymerase)
Nbe.v1.s00190g19930,"Zinc finger, C3HC4 type (RING finger)"
Nbe.v1.s00190g19940,Zinc finger CCCH domain-containing protein
Nbe.v1.s00190g19960,clathrin light chain binding
Nbe.v1.s00190g19980,Methyladenine glycosylase
Nbe.v1.s00190g19990,Surfeit locus protein 6
Nbe.v1.s00190g20010,Glycosyl transferase family 2
Nbe.v1.s00190g20020,BEST Arabidopsis thaliana protein match is
Nbe.v1.s00190g20030,purine permease 4
Nbe.v1.s00190g20050,Belongs to the ubiquitin-conjugating enzyme family
Nbe.v1.s00190g20060,Belongs to the MCM family
Nbe.v1.s00190g20070,Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen
Nbe.v1.s00190g20080,Glutaredoxin
Nbe.v1.s00190g20110,-
Nbe.v1.s00190g20120,Belongs to the helicase family
Nbe.v1.s00190g20130,Belongs to the helicase family
Nbe.v1.s00190g20140,HAD-hyrolase-like
Nbe.v1.s00190g20150,H ACA ribonucleoprotein complex subunit 4
Nbe.v1.s00190g20210,Domain of unknown function (DUF1985)
Nbe.v1.s00190g20230,3beta-hydroxysteroid-dehydrogenase decarboxylase isoform
Nbe.v1.s00190g20260,-
Nbe.v1.s00190g20280,"The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH"
Nbe.v1.s00190g20300,UDP-glucoronosyl and UDP-glucosyl transferase
Nbe.v1.s00190g20310,Noc2p family
Nbe.v1.s00190g20350,A Receptor for Ubiquitination Targets
Nbe.v1.s00190g20360,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Era GTPase family
Nbe.v1.s00190g20380,Uncharacterized protein K02A2.6-like
Nbe.v1.s00190g20390,Enhancer of polycomb-like protein
Nbe.v1.s00190g20400,Myb DNA-binding like
Nbe.v1.s00190g20410,Protein SUPPRESSOR OF FRI
Nbe.v1.s00190g20440,Transporter
Nbe.v1.s00190g20450,FACT complex subunit SPT16 N-terminal lobe domain
Nbe.v1.s00190g20470,Lecithin retinol acyltransferase
Nbe.v1.s00190g20480,metal-nicotianamine transporter YSL7
Nbe.v1.s00190g20490,Belongs to the AAA ATPase family
Nbe.v1.s00190g20500,DNA recombination
Nbe.v1.s00190g20510,-
Nbe.v1.s00190g20520,Plant organelle RNA recognition domain
Nbe.v1.s00190g20540,Ribonuclease H protein
Nbe.v1.s00190g20550,function
Nbe.v1.s00190g20560,"atnbs1,nbs1"
Nbe.v1.s00190g20570,Conserved gene of
Nbe.v1.s00190g20600,Wall-associated receptor kinase galacturonan-binding
Nbe.v1.s00190g20610,Wall-associated receptor kinase galacturonan-binding
Nbe.v1.s00190g20620,Conserved gene of
Nbe.v1.s00190g20640,-
Nbe.v1.s00190g20660,Conserved gene of
Nbe.v1.s00190g20670,Protein FAR-RED IMPAIRED RESPONSE 1-like
Nbe.v1.s00190g20680,Domain of unknown function (DUF4228)
Nbe.v1.s00190g20690,Belongs to the Casparian strip membrane proteins (CASP) family
Nbe.v1.s00190g20720,Oxygen-evolving enhancer protein 1
Nbe.v1.s00190g20730,-
Nbe.v1.s00190g20740,"transposition, RNA-mediated"
Nbe.v1.s00190g20750,Uncharacterized protein K02A2.6-like
Nbe.v1.s00190g20770,NPH3 family
Nbe.v1.s00190g20800,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00190g20810,Tetratricopeptide repeats
Nbe.v1.s00190g20820,Ribonuclease H protein
Nbe.v1.s00190g20840,7-deoxyloganetic acid glucosyltransferase-like
Nbe.v1.s00190g20860,regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
Nbe.v1.s00190g20880,regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
Nbe.v1.s00190g20900,"WD domain, G-beta repeat"
Nbe.v1.s00190g20910,Prolyl oligopeptidase family
Nbe.v1.s00190g20920,Prolyl oligopeptidase family
Nbe.v1.s00190g20930,G protein alpha subunit
Nbe.v1.s00190g20940,B3 domain-containing protein
Nbe.v1.s00190g20950,"Prolyl oligopeptidase, N-terminal beta-propeller domain"
Nbe.v1.s00190g20960,superfamily protein
Nbe.v1.s00190g20970,Zinc-finger domain of monoamine-oxidase A repressor R1
Nbe.v1.s00190g20990,GDSL esterase lipase
Nbe.v1.s00190g21010,"Dof domain, zinc finger"
Nbe.v1.s00190g21060,Hydroxyproline-rich glycoprotein family protein
Nbe.v1.s00190g21070,ABC transporter I family member 11
Nbe.v1.s00190g21080,Ribonuclease H protein
Nbe.v1.s00190g21090,gag-polypeptide of LTR copia-type
Nbe.v1.s00190g21120,"Dof domain, zinc finger"
Nbe.v1.s00190g21130,Belongs to the cytochrome P450 family
Nbe.v1.s00190g21140,Lines C-terminus
Nbe.v1.s00190g21150,Pentatricopeptide repeat-containing protein
Nbe.v1.s00190g21170,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g21190,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g21200,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g21210,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g21220,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g21240,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g21270,Multicopper oxidase
Nbe.v1.s00190g21300,Multicopper oxidase
Nbe.v1.s00190g21310,Reticulon-like protein
Nbe.v1.s00190g21320,Arabidopsis broad-spectrum mildew resistance protein RPW8
Nbe.v1.s00190g21330,Belongs to the protein kinase superfamily
Nbe.v1.s00190g21350,RNase H family protein
Nbe.v1.s00190g21360,Reverse transcriptase (RNA-dependent DNA polymerase)
Nbe.v1.s00190g21370,Myb-like DNA-binding domain
Nbe.v1.s00190g21420,Lateral organ boundaries (LOB) domain
Nbe.v1.s00190g21460,60S ribosomal protein L8
Nbe.v1.s00190g21510,DNA binding domain
Nbe.v1.s00190g21530,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Nbe.v1.s00190g21560,phagosome-lysosome fusion involved in apoptotic cell clearance
Nbe.v1.s00190g21570,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00190g21580,Belongs to the glycosyl hydrolase 17 family
Nbe.v1.s00190g21590,tRNAHis guanylyltransferase
Nbe.v1.s00190g21600,Conserved gene of
Nbe.v1.s00190g21610,synthase
Nbe.v1.s00190g21620,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g21660,-
Nbe.v1.s00190g21680,"RNA cytidine acetyltransferase with specificity toward both 18S rRNA and tRNAs. Catalyzes the formation of N(4)- acetylcytidine (ac4C) in 18S rRNA. Required for early nucleolar cleavages of precursor rRNA at sites A0, A1 and A2 during 18S rRNA synthesis. Catalyzes the formation of ac4C in serine and leucine tRNAs. Requires a tRNA-binding adapter protein for full tRNA acetyltransferase activity but not for 18S rRNA acetylation"
Nbe.v1.s00190g21690,Rab subfamily of small GTPases
Nbe.v1.s00190g21700,GAG-pre-integrase domain
Nbe.v1.s00190g21710,"Ras of Complex, Roc, domain of DAPkinase"
Nbe.v1.s00190g21720,At5g64816-like
Nbe.v1.s00190g21730,-
Nbe.v1.s00190g21740,Cytochrome p450
Nbe.v1.s00190g21750,Cytochrome p450
Nbe.v1.s00190g21760,"Programmed cell death protein 2, C-terminal putative domain"
Nbe.v1.s00190g21770,ABC transporter
Nbe.v1.s00190g21780,Alkaline neutral invertase
Nbe.v1.s00190g21790,-
Nbe.v1.s00190g21800,C-terminal region of MMR_HSR1 domain
Nbe.v1.s00190g21830,Auxin-induced protein 6B-like
Nbe.v1.s00190g21840,-
Nbe.v1.s00190g21850,"Shikimate kinase, chloroplastic"
Nbe.v1.s00190g21860,Encoded by
Nbe.v1.s00190g21870,Encoded by
Nbe.v1.s00190g21890,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00190g21900,Kelch motif
Nbe.v1.s00190g21910,Leukocyte receptor cluster member 8 homolog
Nbe.v1.s00190g21930,Ribonuclease H protein
Nbe.v1.s00190g21940,Domain of unknown function (DUF4216)
Nbe.v1.s00190g21950,Cytochrome p450
Nbe.v1.s00190g21990,Glutaredoxin
Nbe.v1.s00190g22000,-
Nbe.v1.s00190g22020,Transposase family tnp2
Nbe.v1.s00190g22030,Glutaredoxin
Nbe.v1.s00190g22040,RNase H family protein
Nbe.v1.s00190g22050,Glutaredoxin
Nbe.v1.s00190g22060,Plant transposase (Ptta/En/Spm family)
Nbe.v1.s00190g22070,Orf147a protein
Nbe.v1.s00190g22080,Domain of unknown function (DUF4283)
Nbe.v1.s00190g22090,4-alpha-glucanotransferase
Nbe.v1.s00190g22100,GYF domain
Nbe.v1.s00190g22110,Conserved oligomeric Golgi complex subunit
Nbe.v1.s00190g22120,Stress enhanced protein 2
Nbe.v1.s00190g22130,E3 ubiquitin-protein ligase RKP
Nbe.v1.s00190g22140,pentatricopeptide repeat-containing protein At5g52630
Nbe.v1.s00190g22150,BTB POZ domain-containing protein POB1-like
Nbe.v1.s00190g22160,-
Nbe.v1.s00190g22170,alpha/beta hydrolase fold
Nbe.v1.s00190g22180,Conserved gene of
Nbe.v1.s00190g22200,source UniProtKB
Nbe.v1.s00190g22230,"Embryo-specific protein 3, (ATS3)"
Nbe.v1.s00190g22240,PLAT/LH2 domain
Nbe.v1.s00190g22250,Type I MADS box transcription factor
Nbe.v1.s00190g22260,-
Nbe.v1.s00190g22280,Plant transposase (Ptta/En/Spm family)
Nbe.v1.s00190g22290,Ribonuclease H protein
Nbe.v1.s00190g22310,bromo domain
Nbe.v1.s00190g22320,Retrotransposon gag protein
Nbe.v1.s00190g22340,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g22350,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g22360,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g22370,60S acidic ribosomal protein
Nbe.v1.s00190g22380,phosphatase 2C
Nbe.v1.s00190g22400,-
Nbe.v1.s00190g22430,Mannose-1-phosphate guanylyltransferase
Nbe.v1.s00190g22450,Mitochondrial glycoprotein
Nbe.v1.s00190g22460,"WD domain, G-beta repeat"
Nbe.v1.s00190g22470,Protein DA1
Nbe.v1.s00190g22480,Rab subfamily of small GTPases
Nbe.v1.s00190g22490,cucumisin-like
Nbe.v1.s00190g22500,Peptidase inhibitor I9
Nbe.v1.s00190g22510,CBF/Mak21 family
Nbe.v1.s00190g22520,CBF/Mak21 family
Nbe.v1.s00190g22525,DDE superfamily endonuclease
Nbe.v1.s00190g22540,Plant protein of unknown function
Nbe.v1.s00190g22550,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00190g22560,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00190g22580,gag-polypeptide of LTR copia-type
Nbe.v1.s00190g22590,Protein of unknown function (DUF620)
Nbe.v1.s00190g22630,-
Nbe.v1.s00190g22650,BEST Arabidopsis thaliana protein match is
Nbe.v1.s00190g22670,Protein of unknown function (DUF4057)
Nbe.v1.s00190g22690,Ribosomal protein L23
Nbe.v1.s00190g22700,isoform X1
Nbe.v1.s00190g22710,Leucine rich repeat N-terminal domain
Nbe.v1.s00190g22740,Enoyl-(Acyl carrier protein) reductase
Nbe.v1.s00190g22750,Transcription cofactor
Nbe.v1.s00190g22780,Belongs to the cytochrome P450 family
Nbe.v1.s00190g22800,Alcohol dehydrogenase GroES-like domain
Nbe.v1.s00190g22810,LSM domain
Nbe.v1.s00190g22830,-
Nbe.v1.s00190g22850,Belongs to the actin family
Nbe.v1.s00190g22870,Belongs to the peptidase C19 family
Nbe.v1.s00190g22880,"transposition, RNA-mediated"
Nbe.v1.s00190g22900,Glutaredoxin
Nbe.v1.s00190g22910,Bulb-type mannose-specific lectin
Nbe.v1.s00190g22920,G-type lectin S-receptor-like serine threonine-protein kinase RLK1
Nbe.v1.s00190g22950,Ribosomal protein S13/S18
Nbe.v1.s00190g22960,Amino acid kinase family
Nbe.v1.s00190g22970,Pectinesterase
Nbe.v1.s00190g22980,Pectinesterase
Nbe.v1.s00190g22990,Transferase family
Nbe.v1.s00190g23000,"Protein of unknown function, DUF538"
Nbe.v1.s00190g23010,Ring finger domain
Nbe.v1.s00190g23020,Glycosyltransferase family 28 C-terminal domain
Nbe.v1.s00190g23030,Transcriptional regulator
Nbe.v1.s00190g23040,GRF zinc finger
Nbe.v1.s00190g23050,-
Nbe.v1.s00190g23070,3-phosphoinositide-dependent protein
Nbe.v1.s00190g23090,"Protein of unknown function, DUF604"
Nbe.v1.s00190g23100,Thylakoid lumenal 15 kDa protein
Nbe.v1.s00190g23110,Protein of unknown function (DUF 659)
Nbe.v1.s00190g23120,Telomere repeat-binding protein
Nbe.v1.s00190g23130,Belongs to the actin family
Nbe.v1.s00190g23160,Eukaryotic translation initiation factor eIF2A
Nbe.v1.s00190g23170,Eukaryotic translation initiation factor eIF2A
Nbe.v1.s00190g23180,Uncharacterized protein K02A2.6-like
Nbe.v1.s00190g23190,Belongs to the peptidase A1 family
Nbe.v1.s00190g23200,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Nbe.v1.s00190g23210,Pentatricopeptide repeat-containing protein
Nbe.v1.s00190g23230,MEKHLA domain
Nbe.v1.s00190g23250,E3 ubiquitin-protein ligase RING1-like
Nbe.v1.s00190g23270,pumilio homolog
Nbe.v1.s00190g23280,Ribonuclease H protein
Nbe.v1.s00190g23290,LOB domain-containing protein
Nbe.v1.s00190g23300,Rare lipoprotein A (RlpA)-like double-psi beta-barrel
Nbe.v1.s00190g23310,XH domain
Nbe.v1.s00190g23330,Vacuolar protein sorting-associated protein
Nbe.v1.s00190g23350,"Protein of unknown function, DUF547"
